% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.512	1	1	52	3	1	0	85	0
0.665	1	1	67	6	1	0	85	0
0.361	1	1	37	2	1	0	85	0
0.513	1	1	52	4	1	0	85	0
0.666	1	1	67	7	1	0	85	0
0.362	1	1	37	3	1	0	85	0
0.514	1	1	52	5	1	0	85	0
0.667	1	1	67	8	1	0	85	0
0.363	1	1	37	4	1	0	85	0
0.515	1	1	52	6	1	0	85	0
0.668	1	1	67	9	1	0	85	0
0.364	1	1	37	5	1	0	85	0
0.516	1	1	52	7	1	0	85	0
0.669	1	1	67	10	1	0	85	0
0.365	1	1	37	6	1	0	85	0
0.517	1	1	52	8	1	0	85	0
0.67	1	1	68	1	1	0	85	0
0.366	1	1	37	7	1	0	85	0
0.518	1	1	52	9	1	0	85	0
0.671	1	1	68	2	1	0	85	0
0.367	1	1	37	8	1	0	85	0
0.519	1	1	52	10	1	0	85	0
0.368	1	1	37	9	1	0	85	0
0.672	1	1	68	3	1	0	85	0
0.52	1	1	53	1	1	0	85	0
0.369	1	1	37	10	1	0	85	0
0.673	1	1	68	4	1	0	85	0
0.521	1	1	53	2	1	0	85	0
0.674	1	1	68	5	1	0	85	0
0.37	1	1	38	1	1	0	85	0
0.522	1	1	53	3	1	0	85	0
0.371	1	1	38	2	1	0	85	0
0.675	1	1	68	6	1	0	85	0
0.523	1	1	53	4	1	0	85	0
0.676	1	1	68	7	1	0	85	0
0.372	1	1	38	3	1	0	85	0
0.524	1	1	53	5	1	0	85	0
0.677	1	1	68	8	1	0	85	0
0.373	1	1	38	4	1	0	85	0
0.525	1	1	53	6	1	0	85	0
0.678	1	1	68	9	1	0	85	0
0.374	1	1	38	5	1	0	85	0
0.526	1	1	53	7	1	0	85	0
0.375	1	1	38	6	1	0	85	0
0.679	1	1	68	10	1	0	85	0
0.527	1	1	53	8	1	0	85	0
0.376	1	1	38	7	1	0	85	0
0.68	1	1	69	1	1	0	85	0
0.528	1	1	53	9	1	0	85	0
0.377	1	1	38	8	1	0	85	0
0.681	1	1	69	2	1	0	85	0
0.529	1	1	53	10	1	0	85	0
0.378	1	1	38	9	1	0	85	0
0.682	1	1	69	3	1	0	85	0
0.53	1	1	54	1	1	0	85	0
0.379	1	1	38	10	1	0	85	0
0.683	1	1	69	4	1	0	85	0
0.531	1	1	54	2	1	0	85	0
0.38	1	1	39	1	1	0	85	0
0.684	1	1	69	5	1	0	85	0
0.532	1	1	54	3	1	0	85	0
0.381	1	1	39	2	1	0	85	0
0.685	1	1	69	6	1	0	85	0
0.533	1	1	54	4	1	0	85	0
0.382	1	1	39	3	1	0	85	0
0.686	1	1	69	7	1	0	85	0
0.534	1	1	54	5	1	0	85	0
0.383	1	1	39	4	1	0	85	0
0.687	1	1	69	8	1	0	85	0
0.535	1	1	54	6	1	0	85	0
0.384	1	1	39	5	1	0	85	0
0.688	1	1	69	9	1	0	85	0
0.536	1	1	54	7	1	0	85	0
0.689	1	1	69	10	1	0	85	0
0.537	1	1	54	8	1	0	85	0
0.69	1	1	70	1	1	0	85	0
0.538	1	1	54	9	1	0	85	0
0.691	1	1	70	2	1	0	85	0
0.385	1	1	39	6	1	0	85	0
0.539	1	1	54	10	1	0	85	0
0.692	1	1	70	3	1	0	85	0
0.54	1	1	55	1	1	0	85	0
0.386	1	1	39	7	1	0	85	0
0.693	1	1	70	4	1	0	85	0
0.541	1	1	55	2	1	0	85	0
0.387	1	1	39	8	1	0	85	0
0.694	1	1	70	5	1	0	85	0
0.542	1	1	55	3	1	0	85	0
0.388	1	1	39	9	1	0	85	0
0.695	1	1	70	6	1	0	85	0
0.543	1	1	55	4	1	0	85	0
0.389	1	1	39	10	1	0	85	0
0.696	1	1	70	7	1	0	85	0
0.544	1	1	55	5	1	0	85	0
0.39	1	1	40	1	1	0	85	0
0.697	1	1	70	8	1	0	85	0
0.545	1	1	55	6	1	0	85	0
0.391	1	1	40	2	1	0	85	0
0.546	1	1	55	7	1	0	85	0
0.698	1	1	70	9	1	0	85	0
0.392	1	1	40	3	1	0	85	0
0.547	1	1	55	8	1	0	85	0
0.699	1	1	70	10	1	0	85	0
0.393	1	1	40	4	1	0	85	0
0.548	1	1	55	9	1	0	85	0
0.7	1	1	71	1	1	0	85	0
0.394	1	1	40	5	1	0	85	0
0.549	1	1	55	10	1	0	85	0
0.701	1	1	71	2	1	0	85	0
0.395	1	1	40	6	1	0	85	0
0.55	1	1	56	1	1	0	85	0
0.702	1	1	71	3	1	0	85	0
0.396	1	1	40	7	1	0	85	0
0.551	1	1	56	2	1	0	85	0
0.703	1	1	71	4	1	0	85	0
0.397	1	1	40	8	1	0	85	0
0.552	1	1	56	3	1	0	85	0
0.704	1	1	71	5	1	0	85	0
0.553	1	1	56	4	1	0	85	0
0.398	1	1	40	9	1	0	85	0
0.705	1	1	71	6	1	0	85	0
0.554	1	1	56	5	1	0	85	0
0.399	1	1	40	10	1	0	85	0
0.706	1	1	71	7	1	0	85	0
0.555	1	1	56	6	1	0	85	0
0.707	1	1	71	8	1	0	85	0
0.4	1	1	41	1	1	0	85	0
0.556	1	1	56	7	1	0	85	0
0.708	1	1	71	9	1	0	85	0
0.401	1	1	41	2	1	0	85	0
0.557	1	1	56	8	1	0	85	0
0.709	1	1	71	10	1	0	85	0
0.402	1	1	41	3	1	0	85	0
0.558	1	1	56	9	1	0	85	0
0.71	1	1	72	1	1	0	85	0
0.403	1	1	41	4	1	0	85	0
0.559	1	1	56	10	1	0	85	0
0.711	1	1	72	2	1	0	85	0
0.404	1	1	41	5	1	0	85	0
0.56	1	1	57	1	1	0	85	0
