% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.104	1	0	11	5	2	8	85	0
0.104	1	0	11	5	3	12	125	0
0.104	1	0	11	5	4	2	26	0
0.104	1	0	11	5	6	28	469	0
0.105	1	0	11	6	1	14	157	0
0.105	1	0	11	6	2	8	85	0
0.105	1	0	11	6	3	12	125	0
0.105	1	0	11	6	4	2	26	0
0.105	1	0	11	6	6	28	469	0
0.106	1	0	11	7	1	14	157	0
0.106	1	0	11	7	2	8	85	0
0.106	1	0	11	7	3	12	125	0
0.106	1	0	11	7	4	2	26	0
0.106	1	0	11	7	6	28	469	0
0.107	1	0	11	8	1	14	157	0
0.107	1	0	11	8	2	8	85	0
0.107	1	0	11	8	3	12	125	0
0.107	1	0	11	8	4	2	26	0
0.107	1	0	11	8	6	28	469	0
0.108	1	0	11	9	1	14	157	0
0.108	1	0	11	9	2	8	85	0
0.108	1	0	11	9	3	12	125	0
0.108	1	0	11	9	4	2	26	0
0.108	1	0	11	9	6	28	469	0
0.109	1	0	11	10	1	14	157	0
0.109	1	0	11	10	2	8	85	0
0.109	1	0	11	10	3	12	125	0
0.109	1	0	11	10	4	2	26	0
0.109	1	0	11	10	6	28	469	0
0.11	1	0	12	1	1	14	157	0
0.11	1	0	12	1	2	8	85	0
0.11	1	0	12	1	3	12	125	0
0.11	1	0	12	1	4	2	26	0
0.11	1	0	12	1	6	28	469	0
0.111	1	0	12	2	1	14	157	0
0.111	1	0	12	2	2	8	85	0
0.111	1	0	12	2	3	12	125	0
0.111	1	0	12	2	4	2	26	0
0.111	1	0	12	2	6	28	469	0
0.112	1	0	12	3	1	14	157	0
0.112	1	0	12	3	2	8	85	0
0.112	1	0	12	3	3	12	125	0
0.112	1	0	12	3	4	2	26	0
0.112	1	0	12	3	6	28	469	0
0.113	1	0	12	4	1	14	157	0
0.113	1	0	12	4	2	8	85	0
0.113	1	0	12	4	3	12	125	0
0.113	1	0	12	4	4	2	26	0
0.113	1	0	12	4	6	28	469	0
0.114	1	0	12	5	1	14	157	0
0.114	1	0	12	5	2	8	85	0
0.114	1	0	12	5	3	12	125	0
0.114	1	0	12	5	4	2	26	0
0.114	1	0	12	5	6	28	469	0
0.115	1	0	12	6	1	14	157	0
0.115	1	0	12	6	2	8	85	0
0.115	1	0	12	6	3	12	125	0
0.115	1	0	12	6	4	2	26	0
0.115	1	0	12	6	6	28	469	0
0.116	1	0	12	7	1	14	157	0
0.116	1	0	12	7	2	8	85	0
0.116	1	0	12	7	3	12	125	0
0.116	1	0	12	7	4	2	26	0
0.116	1	0	12	7	6	28	469	0
0.117	1	0	12	8	1	14	157	0
0.117	1	0	12	8	2	8	85	0
0.117	1	0	12	8	3	12	125	0
0.117	1	0	12	8	4	2	26	0
0.117	1	0	12	8	6	28	469	0
0.118	1	0	12	9	1	14	157	0
0.118	1	0	12	9	2	8	85	0
0.118	1	0	12	9	3	12	125	0
0.118	1	0	12	9	4	2	26	0
0.118	1	0	12	9	6	28	469	0
0.119	1	0	12	10	1	14	157	0
0.119	1	0	12	10	2	8	85	0
0.119	1	0	12	10	3	12	125	0
0.119	1	0	12	10	4	2	26	0
0.119	1	0	12	10	6	28	469	0
0.12	1	0	13	1	1	14	157	0
0.12	1	0	13	1	2	8	85	0
0.12	1	0	13	1	3	12	125	0
0.12	1	0	13	1	4	2	26	0
0.12	1	0	13	1	6	28	469	0
0.121	1	0	13	2	1	14	157	0
0.121	1	0	13	2	2	8	85	0
0.121	1	0	13	2	3	12	125	0
0.121	1	0	13	2	4	2	26	0
0.121	1	0	13	2	6	28	469	0
0.122	1	0	13	3	1	14	157	0
0.122	1	0	13	3	2	8	85	0
0.122	1	0	13	3	3	12	125	0
0.122	1	0	13	3	4	2	26	0
0.122	1	0	13	3	6	28	469	0
0.123	1	0	13	4	1	14	157	0
0.123	1	0	13	4	2	8	85	0
0.123	1	0	13	4	3	12	125	0
0.123	1	0	13	4	4	2	26	0
0.123	1	0	13	4	6	28	469	0
0.124	1	0	13	5	1	14	157	0
0.124	1	0	13	5	2	8	85	0
0.124	1	0	13	5	3	12	125	0
0.124	1	0	13	5	4	2	26	0
0.124	1	0	13	5	6	28	469	0
0.125	1	0	13	6	1	14	157	0
0.125	1	0	13	6	2	8	85	0
0.125	1	0	13	6	3	12	125	0
0.125	1	0	13	6	4	2	26	0
0.125	1	0	13	6	6	28	469	0
0.126	1	0	13	7	1	14	157	0
0.126	1	0	13	7	2	8	85	0
0.126	1	0	13	7	3	12	125	0
0.126	1	0	13	7	4	2	26	0
0.126	1	0	13	7	6	28	469	0
0.127	1	0	13	8	1	14	157	0
0.127	1	0	13	8	2	8	85	0
0.127	1	0	13	8	3	12	125	0
0.127	1	0	13	8	4	2	26	0
0.127	1	0	13	8	6	28	469	0
0.128	1	0	13	9	1	14	157	0
0.128	1	0	13	9	2	8	85	0
0.128	1	0	13	9	3	12	125	0
0.128	1	0	13	9	4	2	26	0
0.128	1	0	13	9	6	28	469	0
0.129	1	0	13	10	1	14	157	0
0.129	1	0	13	10	2	8	85	0
0.129	1	0	13	10	3	12	125	0
0.129	1	0	13	10	4	2	26	0
0.129	1	0	13	10	6	28	469	0
0.13	1	0	14	1	1	14	157	0
0.13	1	0	14	1	2	8	85	0
0.13	1	0	14	1	3	12	125	0
0.13	1	0	14	1	4	2	26	0
0.13	1	0	14	1	6	28	469	0
0.131	1	0	14	2	1	14	157	0
0.131	1	0	14	2	2	8	85	0
0.131	1	0	14	2	3	12	125	0
0.131	1	0	14	2	4	2	26	0
0.131	1	0	14	2	6	28	469	0
0.132	1	0	14	3	1	14	157	0
0.132	1	0	14	3	2	8	85	0
0.132	1	0	14	3	3	12	125	0
0.132	1	0	14	3	4	2	26	0
0.132	1	0	14	3	6	28	469	0
0.133	1	0	14	4	1	14	157	0
0.133	1	0	14	4	2	8	85	0
0.133	1	0	14	4	3	12	125	0
0.133	1	0	14	4	4	2	26	0
0.133	1	0	14	4	6	28	469	0
0.134	1	0	14	5	1	14	157	0
0.134	1	0	14	5	2	8	85	0
0.134	1	0	14	5	3	12	125	0
0.134	1	0	14	5	4	2	26	0
0.134	1	0	14	5	6	28	469	0
0.135	1	0	14	6	1	14	157	0
0.135	1	0	14	6	2	8	85	0
0.135	1	0	14	6	3	12	125	0
0.135	1	0	14	6	4	2	26	0
0.135	1	0	14	6	6	28	469	0
0.136	1	0	14	7	1	14	157	0
0.136	1	0	14	7	2	8	85	0
0.136	1	0	14	7	3	12	125	0
0.136	1	0	14	7	4	2	26	0
0.136	1	0	14	7	6	28	469	0
0.137	1	0	14	8	1	14	157	0
0.137	1	0	14	8	2	8	85	0
0.137	1	0	14	8	3	12	125	0
0.137	1	0	14	8	4	2	26	0
0.137	1	0	14	8	6	28	469	0
0.138	1	0	14	9	1	14	157	0
0.138	1	0	14	9	2	8	85	0
0.138	1	0	14	9	3	12	125	0
0.138	1	0	14	9	4	2	26	0
0.138	1	0	14	9	6	28	469	0
0.139	1	0	14	10	1	14	157	0
0.139	1	0	14	10	2	8	85	0
0.139	1	0	14	10	3	12	125	0
0.139	1	0	14	10	4	2	26	0
0.139	1	0	14	10	6	28	469	0
0.14	1	0	15	1	1	14	157	0
0.14	1	0	15	1	2	8	85	0
0.14	1	0	15	1	3	12	125	0
0.14	1	0	15	1	4	2	26	0
0.14	1	0	15	1	6	28	469	0
0.141	1	0	15	2	1	14	157	0
0.141	1	0	15	2	2	8	85	0
0.141	1	0	15	2	3	12	125	0
0.141	1	0	15	2	4	2	26	0
0.141	1	0	15	2	6	28	469	0
0.142	1	0	15	3	1	14	157	0
0.142	1	0	15	3	2	8	85	0
0.142	1	0	15	3	3	12	125	0
0.142	1	0	15	3	4	2	26	0
0.142	1	0	15	3	6	28	469	0
0.143	1	0	15	4	1	14	157	0
0.143	1	0	15	4	2	8	85	0
0.143	1	0	15	4	3	12	125	0
0.143	1	0	15	4	4	2	26	0
0.143	1	0	15	4	6	28	469	0
0.144	1	0	15	5	1	14	157	0
0.144	1	0	15	5	2	8	85	0
0.144	1	0	15	5	3	12	125	0
0.144	1	0	15	5	4	2	26	0
0.144	1	0	15	5	6	28	469	0
0.145	1	0	15	6	1	14	157	0
0.145	1	0	15	6	2	8	85	0
0.145	1	0	15	6	3	12	125	0
0.145	1	0	15	6	4	2	26	0
0.145	1	0	15	6	6	28	469	0
0.146	1	0	15	7	1	14	157	0
