% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.128	1	13	13	9	3	8	421	0	0	1
0.129	1	5	13	10	4	8	421	0	0	0
0.129	1	5	13	10	4	8	421	0	0	1
0.13	1	11	14	1	9	8	421	0	0	0
0.13	1	11	14	1	9	8	421	0	0	1
0.131	1	3	14	2	10	8	421	0	0	0
0.131	1	3	14	2	10	8	421	0	0	1
0.132	1	2	14	3	11	8	421	0	0	0
0.132	1	2	14	3	11	8	421	0	0	1
0.133	1	6	14	4	12	8	421	0	0	0
0.133	1	6	14	4	12	8	421	0	0	1
0.134	1	15	14	5	18	8	421	0	0	0
0.134	1	15	14	5	18	8	421	0	0	1
0.135	1	14	14	6	19	8	421	0	0	0
0.135	1	14	14	6	19	8	421	0	0	1
0.136	1	12	14	7	20	8	421	0	0	0
0.136	1	12	14	7	20	8	421	0	0	1
0.137	1	9	14	8	21	8	421	0	0	0
0.137	1	9	14	8	21	8	421	0	0	1
0.138	1	4	14	9	22	8	421	0	0	0
0.138	1	4	14	9	22	8	421	0	0	1
0.139	1	10	14	10	23	8	421	0	0	0
0.139	1	10	14	10	23	8	421	0	0	1
0.14	1	1	15	1	24	8	421	0	0	0
0.14	1	1	15	1	24	8	421	0	0	1
0.141	1	7	15	2	1	8	421	0	0	0
0.141	1	7	15	2	1	8	421	0	0	1
0.142	1	8	15	3	2	8	421	0	0	0
0.142	1	8	15	3	2	8	421	0	0	1
0.143	1	13	15	4	3	8	421	0	0	0
0.143	1	13	15	4	3	8	421	0	0	1
0.144	1	5	15	5	4	8	421	0	0	0
0.144	1	5	15	5	4	8	421	0	0	1
0.145	1	11	15	6	9	8	421	0	0	0
0.145	1	11	15	6	9	8	421	0	0	1
0.146	1	3	15	7	10	8	421	0	0	0
0.146	1	3	15	7	10	8	421	0	0	1
0.147	1	2	15	8	11	8	421	0	0	0
0.147	1	2	15	8	11	8	421	0	0	1
0.148	1	6	15	9	12	8	421	0	0	0
0.148	1	6	15	9	12	8	421	0	0	1
0.149	1	15	15	10	18	8	421	0	0	0
0.149	1	15	15	10	18	8	421	0	0	1
0.15	1	14	16	1	19	8	421	0	0	0
0.15	1	14	16	1	19	8	421	0	0	1
0.151	1	12	16	2	20	8	421	0	0	0
0.151	1	12	16	2	20	8	421	0	0	1
0.152	1	9	16	3	21	8	421	0	0	0
0.152	1	9	16	3	21	8	421	0	0	1
0.153	1	4	16	4	22	8	421	0	0	0
0.153	1	4	16	4	22	8	421	0	0	1
0.154	1	10	16	5	23	8	421	0	0	0
0.154	1	10	16	5	23	8	421	0	0	1
0.155	1	1	16	6	24	8	421	0	0	0
0.155	1	1	16	6	24	8	421	0	0	1
0.156	1	7	16	7	1	8	421	0	0	0
0.156	1	7	16	7	1	8	421	0	0	1
0.157	1	8	16	8	2	8	421	0	0	0
0.157	1	8	16	8	2	8	421	0	0	1
0.158	1	13	16	9	3	8	421	0	0	0
0.158	1	13	16	9	3	8	421	0	0	1
0.159	1	5	16	10	4	8	421	0	0	0
0.159	1	5	16	10	4	8	421	0	0	1
0.16	1	11	17	1	9	8	421	0	0	0
0.16	1	11	17	1	9	8	421	0	0	1
0.161	1	3	17	2	10	8	421	0	0	0
0.161	1	3	17	2	10	8	421	0	0	1
0.162	1	2	17	3	11	8	421	0	0	0
0.162	1	2	17	3	11	8	421	0	0	1
0.163	1	6	17	4	12	8	421	0	0	0
0.163	1	6	17	4	12	8	421	0	0	1
0.164	1	15	17	5	18	8	421	0	0	0
0.164	1	15	17	5	18	8	421	0	0	1
0.165	1	14	17	6	19	8	421	0	0	0
0.165	1	14	17	6	19	8	421	0	0	1
0.166	1	12	17	7	20	8	421	0	0	0
0.166	1	12	17	7	20	8	421	0	0	1
0.167	1	9	17	8	21	8	421	0	0	0
0.167	1	9	17	8	21	8	421	0	0	1
0.168	1	4	17	9	22	8	421	0	0	0
0.168	1	4	17	9	22	8	421	0	0	1
0.169	1	10	17	10	23	8	421	0	0	0
0.169	1	10	17	10	23	8	421	0	0	1
0.17	1	1	18	1	24	8	421	0	0	0
0.17	1	1	18	1	24	8	421	0	0	1
0.171	1	7	18	2	1	8	421	0	0	0
0.171	1	7	18	2	1	8	421	0	0	1
0.172	1	8	18	3	2	8	421	0	0	0
0.172	1	8	18	3	2	8	421	0	0	1
0.173	1	13	18	4	3	8	421	0	0	0
0.173	1	13	18	4	3	8	421	0	0	1
0.174	1	5	18	5	4	8	421	0	0	0
0.174	1	5	18	5	4	8	421	0	0	1
0.175	1	11	18	6	9	8	421	0	0	0
0.175	1	11	18	6	9	8	421	0	0	1
0.176	1	3	18	7	10	8	421	0	0	0
0.176	1	3	18	7	10	8	421	0	0	1
0.177	1	2	18	8	11	8	421	0	0	0
0.177	1	2	18	8	11	8	421	0	0	1
0.178	1	6	18	9	12	8	421	0	0	0
0.178	1	6	18	9	12	8	421	0	0	1
0.179	1	15	18	10	18	8	421	0	0	0
0.179	1	15	18	10	18	8	421	0	0	1
0.18	1	14	19	1	19	8	421	0	0	0
0.18	1	14	19	1	19	8	421	0	0	1
0.181	1	12	19	2	20	8	421	0	0	0
0.181	1	12	19	2	20	8	421	0	0	1
0.182	1	9	19	3	21	8	421	0	0	0
0.182	1	9	19	3	21	8	421	0	0	1
0.183	1	4	19	4	22	8	421	0	0	0
0.183	1	4	19	4	22	8	421	0	0	1
0.184	1	10	19	5	23	8	421	0	0	0
0.184	1	10	19	5	23	8	421	0	0	1
0.185	1	1	19	6	24	8	421	0	0	0
0.185	1	1	19	6	24	8	421	0	0	1
0.186	1	7	19	7	1	8	421	0	0	0
0.186	1	7	19	7	1	8	421	0	0	1
0.187	1	8	19	8	2	8	421	0	0	0
0.187	1	8	19	8	2	8	421	0	0	1
0.188	1	13	19	9	3	8	421	0	0	0
0.188	1	13	19	9	3	8	421	0	0	1
0.189	1	5	19	10	4	8	421	0	0	0
0.189	1	5	19	10	4	8	421	0	0	1
0.19	1	11	20	1	9	8	421	0	0	0
0.19	1	11	20	1	9	8	421	0	0	1
0.191	1	3	20	2	10	8	421	0	0	0
0.191	1	3	20	2	10	8	421	0	0	1
0.192	1	2	20	3	11	8	421	0	0	0
0.192	1	2	20	3	11	8	421	0	0	1
0.193	1	6	20	4	12	8	421	0	0	0
0.193	1	6	20	4	12	8	421	0	0	1
0.194	1	15	20	5	18	8	421	0	0	0
0.194	1	15	20	5	18	8	421	0	0	1
0.195	1	14	20	6	19	8	421	0	0	0
0.195	1	14	20	6	19	8	421	0	0	1
0.196	1	12	20	7	20	8	421	0	0	0
0.196	1	12	20	7	20	8	421	0	0	1
0.197	1	9	20	8	21	8	421	0	0	0
0.197	1	9	20	8	21	8	421	0	0	1
0.198	1	4	20	9	22	8	421	0	0	0
0.198	1	4	20	9	22	8	421	0	0	1
0.199	1	10	20	10	23	8	421	0	0	0
0.199	1	10	20	10	23	8	421	0	0	1
0.2	1	1	21	1	24	8	421	0	0	0
0.2	1	1	21	1	24	8	421	0	0	1
0.201	1	7	21	2	1	8	421	0	0	0
0.201	1	7	21	2	1	8	421	0	0	1
0.202	1	8	21	3	2	8	421	0	0	0
0.202	1	8	21	3	2	8	421	0	0	1
0.203	1	13	21	4	3	8	421	0	0	0
0.203	1	13	21	4	3	8	421	0	0	1
0.204	1	5	21	5	4	8	421	0	0	0
0.204	1	5	21	5	4	8	421	0	0	1
0.205	1	11	21	6	9	8	421	0	0	0
0.205	1	11	21	6	9	8	421	0	0	1
0.206	1	3	21	7	10	8	421	0	0	0
0.206	1	3	21	7	10	8	421	0	0	1
0.207	1	2	21	8	11	8	421	0	0	0
0.207	1	2	21	8	11	8	421	0	0	1
0.208	1	6	21	9	12	8	421	0	0	0
0.208	1	6	21	9	12	8	421	0	0	1
0.209	1	15	21	10	18	8	421	0	0	0
0.209	1	15	21	10	18	8	421	0	0	1
0.21	1	14	22	1	19	8	421	0	0	0
0.21	1	14	22	1	19	8	421	0	0	1
0.211	1	12	22	2	20	8	421	0	0	0
0.211	1	12	22	2	20	8	421	0	0	1
0.212	1	9	22	3	21	8	421	0	0	0
0.212	1	9	22	3	21	8	421	0	0	1
0.213	1	4	22	4	22	8	421	0	0	0
0.213	1	4	22	4	22	8	421	0	0	1
0.214	1	10	22	5	23	8	421	0	0	0
0.214	1	10	22	5	23	8	421	0	0	1
0.215	1	1	22	6	24	8	421	0	0	0
0.215	1	1	22	6	24	8	421	0	0	1
0.216	1	7	22	7	1	8	421	0	0	0
0.216	1	7	22	7	1	8	421	0	0	1
0.217	1	8	22	8	2	8	421	0	0	0
0.217	1	8	22	8	2	8	421	0	0	1
