% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
59	1	14	19	0	0	7	0	1	0
59	1	15	18	0	0	7	0	1	0
59	2	2	11	0	2	18	0	1	1
59	2	3	10	0	2	18	0	1	1
59	2	6	12	0	2	18	0	1	1
59	2	9	21	0	0	7	0	1	1
59	2	12	20	0	0	7	0	1	1
59	2	14	19	0	0	7	0	1	1
59	2	15	18	0	0	7	0	1	1
59	2	4	22	0	0	7	0	1	1
60	1	2	11	0	2	18	0	1	0
60	1	3	10	0	2	18	0	1	0
60	1	5	4	0	2	18	0	1	0
60	1	6	12	0	2	18	0	1	0
60	1	7	1	0	2	18	0	1	0
60	1	8	2	0	2	18	0	1	0
60	1	11	9	0	2	18	0	1	0
60	1	13	3	0	2	18	0	1	0
60	2	5	4	0	2	18	0	1	1
60	2	7	1	0	2	18	0	1	1
60	2	8	2	0	2	18	0	1	1
60	2	13	3	0	2	18	0	1	1
60	2	3	10	0	2	18	0	1	1
60	2	11	9	0	2	18	0	1	1
60	2	1	24	0	0	7	0	1	1
60	2	10	23	0	0	7	0	1	1
61	1	1	24	0	0	7	0	1	0
61	1	4	22	0	0	7	0	1	0
61	1	7	1	0	2	18	0	1	0
61	1	9	21	0	0	7	0	1	0
61	1	10	23	0	0	7	0	1	0
61	1	12	20	0	0	7	0	1	0
61	1	14	19	0	0	7	0	1	0
61	1	15	18	0	0	7	0	1	0
61	2	2	11	0	2	18	0	1	1
61	2	6	12	0	2	18	0	1	1
61	2	9	21	0	0	7	0	1	1
61	2	12	20	0	0	7	0	1	1
61	2	14	19	0	0	7	0	1	1
61	2	15	18	0	0	7	0	1	1
61	2	4	22	0	0	7	0	1	1
61	2	10	23	0	0	7	0	1	1
62	1	2	11	0	2	18	0	1	0
62	1	3	10	0	2	18	0	1	0
62	1	5	4	0	2	18	0	1	0
62	1	6	12	0	2	18	0	1	0
62	1	8	2	0	2	18	0	1	0
62	1	11	9	0	2	18	0	1	0
62	1	13	3	0	2	18	0	1	0
62	1	15	18	0	0	7	0	1	0
62	2	5	4	0	2	18	0	1	1
62	2	7	1	0	2	18	0	1	1
62	2	8	2	0	2	18	0	1	1
62	2	13	3	0	2	18	0	1	1
62	2	2	11	0	2	18	0	1	1
62	2	3	10	0	2	18	0	1	1
62	2	11	9	0	2	18	0	1	1
62	2	1	24	0	0	7	0	1	1
63	1	1	24	0	0	7	0	1	0
63	1	4	22	0	0	7	0	1	0
63	1	7	1	0	2	18	0	1	0
63	1	8	2	0	2	18	0	1	0
63	1	9	21	0	0	7	0	1	0
63	1	10	23	0	0	7	0	1	0
63	1	12	20	0	0	7	0	1	0
63	1	14	19	0	0	7	0	1	0
63	2	6	12	0	2	18	0	1	1
63	2	9	21	0	0	7	0	1	1
63	2	12	20	0	0	7	0	1	1
63	2	14	19	0	0	7	0	1	1
63	2	15	18	0	0	7	0	1	1
63	2	1	24	0	0	7	0	1	1
63	2	4	22	0	0	7	0	1	1
63	2	10	23	0	0	7	0	1	1
64	1	2	11	0	2	18	0	1	0
64	1	3	10	0	2	18	0	1	0
64	1	5	4	0	2	18	0	1	0
64	1	6	12	0	2	18	0	1	0
64	1	11	9	0	2	18	0	1	0
64	1	13	3	0	2	18	0	1	0
64	1	14	19	0	0	7	0	1	0
64	1	15	18	0	2	18	0	1	0
64	2	5	4	0	2	18	0	1	1
64	2	7	1	0	2	18	0	1	1
64	2	8	2	0	2	18	0	1	1
64	2	13	3	0	2	18	0	1	1
64	2	2	11	0	2	18	0	1	1
64	2	3	10	0	2	18	0	1	1
64	2	6	12	0	2	18	0	1	1
64	2	11	9	0	2	18	0	1	1
65	1	1	24	0	0	7	0	1	0
65	1	4	22	0	0	7	0	1	0
65	1	7	1	0	2	18	0	1	0
65	1	8	2	0	2	18	0	1	0
65	1	9	21	0	0	7	0	1	0
65	1	10	23	0	0	7	0	1	0
65	1	12	20	0	0	7	0	1	0
65	1	13	3	0	2	18	0	1	0
65	2	7	1	0	2	18	0	1	1
65	2	9	21	0	0	7	0	1	1
65	2	12	20	0	0	7	0	1	1
65	2	14	19	0	2	18	0	1	1
65	2	15	18	0	2	18	0	1	1
65	2	1	24	0	0	7	0	1	1
65	2	4	22	0	0	7	0	1	1
65	2	10	23	0	0	7	0	1	1
66	1	2	11	0	2	18	0	1	0
66	1	3	10	0	2	18	0	1	0
66	1	5	4	0	2	18	0	1	0
66	1	6	12	0	2	18	0	1	0
66	1	11	9	0	2	18	0	1	0
66	1	12	20	0	2	18	0	1	0
66	1	14	19	0	2	18	0	1	0
66	1	15	18	0	2	18	0	1	0
66	2	5	4	0	2	18	0	1	1
66	2	8	2	0	2	18	0	1	1
66	2	13	3	0	2	18	0	1	1
66	2	2	11	0	2	18	0	1	1
66	2	3	10	0	2	18	0	1	1
66	2	6	12	0	2	18	0	1	1
66	2	11	9	0	2	18	0	1	1
66	2	15	18	0	2	18	0	1	1
67	1	1	24	0	0	7	0	1	0
67	1	4	22	0	0	7	0	1	0
67	1	5	4	0	2	18	0	1	0
67	1	7	1	0	2	18	0	1	0
67	1	8	2	0	2	18	0	1	0
67	1	9	21	0	2	18	0	1	0
67	1	10	23	0	0	7	0	1	0
67	1	13	3	0	2	18	0	1	0
67	2	7	1	0	2	18	0	1	1
67	2	8	2	0	2	18	0	1	1
67	2	9	21	0	2	18	0	1	1
67	2	12	20	0	2	18	0	1	1
67	2	14	19	0	2	18	0	1	1
67	2	1	24	0	0	7	0	1	1
67	2	4	22	0	0	7	0	1	1
67	2	10	23	0	0	7	0	1	1
68	1	2	11	0	2	18	0	1	0
68	1	3	10	0	2	18	0	1	0
68	1	6	12	0	2	18	0	1	0
68	1	9	21	0	2	18	0	1	0
68	1	11	9	0	2	18	0	1	0
68	1	12	20	0	2	18	0	1	0
68	1	14	19	0	2	18	0	1	0
68	1	15	18	0	2	18	0	1	0
68	2	5	4	0	2	18	0	1	1
68	2	13	3	0	2	18	0	1	1
68	2	2	11	0	2	18	0	1	1
68	2	3	10	0	2	18	0	1	1
68	2	6	12	0	2	18	0	1	1
68	2	11	9	0	2	18	0	1	1
68	2	14	19	0	2	18	0	1	1
68	2	15	18	0	2	18	0	1	1
69	1	1	24	0	0	7	0	1	0
69	1	4	22	0	2	18	0	1	0
69	1	5	4	0	2	18	0	1	0
69	1	7	1	0	2	18	0	1	0
69	1	8	2	0	2	18	0	1	0
69	1	10	23	0	2	18	0	1	0
69	1	11	9	0	2	18	0	1	0
69	1	13	3	0	2	18	0	1	0
69	2	7	1	0	2	18	0	1	1
69	2	8	2	0	2	18	0	1	1
69	2	13	3	0	2	18	0	1	1
69	2	9	21	0	2	18	0	1	1
69	2	12	20	0	2	18	0	1	1
69	2	1	24	0	0	7	0	1	1
69	2	4	22	0	2	18	0	1	1
69	2	10	23	0	2	18	0	1	1
70	1	2	11	0	2	18	0	1	0
70	1	3	10	0	2	18	0	1	0
70	1	4	22	0	2	18	0	1	0
70	1	6	12	0	2	18	0	1	0
